aa-lsm-hook                                   - AppArmor system integration
libdrm-devel                                  - Development files for libdrm
libdv                                         - Quasar DV codec, common for digital camcorders
libdvbpsi                                     - A library designed for decoding and generation of MPEG TS and DVB
libdvdcss                                     - DVD decryption library
libdvdnav                                     - DVD navigation library
libdvdread                                    - DVD reading library
libdw                                         - Utilities and library for manipulating ELF files
libdw-devel                                   - Utilities and library for manipulating ELF files
libe-book                                     - Library and tools for reading and converting e-book formats
libebml                                       - A C++ libary to parse EBML files
libebur128                                    - libebur128 is a library that implements the EBU R 128 standard for loudness normalisation.
libeconf                                      - Enhanced config file parser
libeconf-devel                                - Development files for libeconf
libedit                                       - An autotool- and libtoolized port of the NetBSD Editline library
libei                                         - libei is a library for Emulated Input, primarily aimed at the Wayland stack.
libelf                                        - Utilities and library for manipulating ELF files
libelf-devel                                  - Utilities and library for manipulating ELF files
libepoxy                                      - A library for handling OpenGL function pointer management for you
libepoxy-devel                                - Development files for libepoxy
libetonyek                                    - Library and a set of tools for reading and converting Apple iWork documents
libevdev                                      - Wrapper library for evdev devices
libevent                                      - event notification library
libexempi                                     - Exempi is an implementation of XMP (Adobe's Extensible Metadata Platform)
libexif                                       - EXIF tag parsing library
libexttextcat                                 - Text Categorization library for language guessing
libfdt                                        - Device Tree Compiler
libffcall                                     - GNU libffcall is a library which can be used to build foreign function call interfaces in embedded interpreters.
libffi                                        - Foreign Function Interface library
libffi-devel                                  - Development files for libffi
libfido2                                      - Library functionality for FIDO 2.0
libflac                                       - Encoder/decoder for the Free Lossless Audio Codec
libfontenc                                    - X font encoding library
libfreeaptx                                   - Open Source implementation of Audio Processing Technology codec (aptX) forked from libopenaptx 0.2.0
libfreehand                                   - Library for parsing the FreeHand file format structure
libgcc                                        - GNU Compiler Collection
libgcrypt                                     - GNU's basic cryptographic library
libgcrypt-devel                               - Development files for libgcrypt
libgdata                                      - GData Protocol support
libgedit-amtk                                 - Actions, Menus and Toolbars Kit for GTK applications.
libgedit-gfls                                 - A module dedicated to file loading and saving.
libgedit-gtksourceview                        - libgedit-gtksourceview is a library that extends GtkTextView, the standard GTK widget for multiline text editing.
libgedit-tepl                                 - Tepl is a library that eases the development of GtkSourceView-based text editors and IDEs.
libgee                                        - The libgee package is a collection library providing GObject based interfaces and classes for commonly used data structures.
libgeocode-glib-common                        - Shared component for libgeocode-glib 1 and 2
libgeocode-glib2                              - Geocoding library
libgfortran                                   - GNU Compiler Collection
libglade                                      - Glade Programming Library
libglu                                        - Mesa OpenGL Utility Library
libglvnd                                      - The GL Vendor-Neutral Dispatch library
libglvnd-devel                                - Development files for libglvnd
libgnome-desktop                              - GNOME utility runtime library
